mal1g00001,,,tc180s7g00001,,,,,,,,,,,,,,,,
mal1g00002,cpa1s4g02304,,tc180s7g00002,hum1sNW_018397262.1g01138,dz186s21g00477,dz186s8g00566,,,,opy300s33g00053,,,opy300s11g00001,,ga198s2g01760,,,,
mal1g00003,cpa1s4g02303,cca301s1g03443,tc180s7g00003,hum1sNW_018397262.1g01137,.,dz186s8g00567,,,hli2s19g00003,.,,,opy300s11g00002,,.,,,,
mal1g00004,cpa1s4g02302,cca301s1g03442,tc180s7g00004,hum1sNW_018397262.1g01135,.,dz186s8g00568,,,hli2s19g00004,opy300s33g00054,,,opy300s11g00003,,ga198s2g01761,,ga198s13g01610,,
mal1g00005,cpa1s4g02301,.,tc180s7g00005,hum1sNW_018397262.1g01134,dz186s21g00478,.,,,.,opy300s33g00055,,,.,,ga198s2g01762,,.,,
mal1g00006,cpa1s4g02299,.,tc180s7g00006,hum1sNW_018397262.1g01133,.,dz186s8g00569,,,.,.,,,opy300s11g00004,,.,,.,,
mal1g00007,cpa1s4g02296,.,tc180s7g00007,hum1sNW_018397262.1g01132,.,dz186s8g00570,dz186s22g00001,,.,opy300s33g00056,,,opy300s11g00005,opy300s10g02205,ga198s2g01763,,.,,
mal1g00008,cpa1s4g02295,cca301s1g03441,tc180s7g00008,hum1sNW_018397262.1g01130,.,dz186s8g00571,.,hli2s1g00109,.,.,opy300s37g00692,opy300s38g00001,.,opy300s10g02204,.,,ga198s13g01611,,
mal1g00009,cpa1s4g02294,.,tc180s7g00009,hum1sNW_018397262.1g01129,dz186s21g00480,dz186s8g00572,.,hli2s1g00108,.,opy300s33g00059,opy300s37g00693,opy300s38g00002,.,opy300s10g02203,.,,ga198s13g01612,,
mal1g00010,cpa1s4g02292,cca301s1g03440,tc180s7g00010,.,dz186s21g00481,dz186s8g00573,dz186s22g00002,.,hli2s19g00006,opy300s33g00061,.,opy300s38g00005,opy300s11g00006,opy300s10g02202,ga198s2g01764,,ga198s13g01615,,
mal1g00011,.,cca301s1g03439,tc180s7g00011,hum1sNW_018397262.1g01127,.,.,dz186s22g00003,.,.,opy300s33g00062,.,.,.,.,ga198s2g01765,,.,,
mal1g00012,cpa1s4g02290,.,tc180s7g00012,hum1sNW_018397262.1g01126,.,dz186s8g00574,dz186s22g00004,.,.,.,.,.,opy300s11g00007,.,.,,.,,
mal1g00013,cpa1s4g02289,cca301s1g03438,tc180s7g00013,hum1sNW_018397262.1g01125,dz186s21g00482,dz186s8g00575,dz186s22g00005,hli2s1g00107,hli2s19g00008,.,opy300s37g00694,opy300s38g00007,.,opy300s10g02201,.,,ga198s13g01616,,
mal1g00014,cpa1s4g02286,.,tc180s7g00014,hum1sNW_018397262.1g01124,.,dz186s8g00576,dz186s22g00006,hli2s1g00106,hli2s19g00009,.,.,opy300s38g00008,opy300s11g00008,.,.,,ga198s13g01617,,
mal1g00015,cpa1s4g02285,.,tc180s7g00015,hum1sNW_018397262.1g01123,.,.,.,.,.,.,.,.,opy300s11g00009,.,.,,ga198s13g01618,,
mal1g00016,cpa1s4g02284,cca301s1g03436,tc180s7g00016,hum1sNW_018397262.1g01122,dz186s21g00483,dz186s8g00578,dz186s22g00007,hli2s1g00105,hli2s19g00010,opy300s33g00022,.,opy300s38g00010,opy300s11g00010,.,.,,.,,
mal1g00017,cpa1s4g02283,cca301s1g03435,tc180s7g00017,hum1sNW_018397262.1g01118,.,dz186s8g00579,.,.,hli2s19g00011,.,.,opy300s38g00011,.,opy300s10g02199,.,,ga198s13g01619,,
mal1g00018,.,.,tc180s7g00018,hum1sNW_018397262.1g01117,.,dz186s8g00580,dz186s22g00008,.,hli2s19g00012,.,.,.,.,.,.,,.,,
mal1g00019,cpa1s4g02282,cca301s1g03433,tc180s7g00019,hum1sNW_018397262.1g01115,dz186s21g00484,dz186s8g00581,dz186s22g00009,hli2s1g00104,hli2s19g00013,.,.,.,opy300s11g00012,opy300s10g02197,.,,ga198s13g01622,,
mal1g00020,cpa1s4g02281,.,tc180s7g00020,hum1sNW_018397262.1g01114,dz186s21g00485,dz186s8g00582,.,hli2s1g00101,hli2s19g00014,.,.,opy300s38g00012,opy300s11g00013,.,.,,ga198s13g01623,,
mal1g00021,cpa1s4g02280,cca301s1g03432,tc180s7g00021,.,dz186s21g00486,dz186s8g00583,dz186s22g00010,.,hli2s19g00015,opy300s33g00021,.,.,opy300s11g00014,opy300s10g02196,ga198s2g01766,,.,,
mal1g00022,cpa1s4g02279,cca301s1g03431,tc180s7g00022,hum1sNW_018397262.1g01110,.,.,dz186s22g00011,hli2s1g00099,hli2s19g00016,.,.,.,opy300s11g00015,opy300s10g02195,.,,.,,ga198s1g01014
