(7,8,(5,(6,((3,4):4.654782102771013,(1,2):0.16519589636749857):1.2673228722896654):0.7129063631965352):1.5495128125732385); -Ploglik = 71.52740848743355
 Dendroscope: (7,8,(5,(6,((3,4):4.654782102771013,(1,2):0.16519589636749857):1.2673228722896654):0.7129063631965352):1.5495128125732385);
 Elapsed time: 91.5 seconds, 15 attempted runs
-------
List of estimated networks for all runs (sorted by log-pseudolik; the smaller, the better):
 (7,8,(5,(6,((3,4):4.654782102771013,(1,2):0.16519589636749857):1.2673228722896654):0.7129063631965352):1.5495128125732385);, with -loglik 71.52740848743355
 (7,8,(5,(6,((3,4):4.654783240347705,(2,1):0.16519593144477007):1.2673226252143914):0.7129065531358604):1.5495126192585214);, with -loglik 71.52740848743602
 (7,8,(5,(6,((4,3):4.654784579571951,(2,1):0.1651960037497055):1.2673227080740115):0.7129061261764265):1.5495126779472752);, with -loglik 71.52740848745543
 (7,8,(5,(6,((2,1):0.16519610935303405,(3,4):4.654781802881753):1.267322330520781):0.7129064706208066):1.5495131382933822);, with -loglik 71.52740848749264
 (7,8,(5,(6,((3,4):4.654779826264887,(2,1):0.16519611255295533):1.2673228531148197):0.7129062010552942):1.549513210816211);, with -loglik 71.5274084875003
 (7,8,(5,(6,((2,1):0.16519625100088464,(3,4):4.654783421765906):1.2673226814100083):0.7129062324620037):1.5495136278729666);, with -loglik 71.52740848750408
 (7,8,(5,(((3,4):4.654778871162399,(2,1):0.16519592384997434):1.2673226800586952,6):0.7129063701203696):1.5495131836414076);, with -loglik 71.52740848750886
 (7,8,((6,((3,4):4.654778815331723,(2,1):0.16519593823645348):1.2673230616691222):0.7129063067960578,5):1.5495131639026107);, with -loglik 71.52740848751876
 (7,8,((6,((3,4):4.654782685355427,(2,1):0.1651954752717706):1.2673227323234137):0.7129060240786076,5):1.5495132525445985);, with -loglik 71.52740848760284
 ((7,8):1.5495140744754747,(6,((3,4):4.654783812082969,(2,1):0.16519564963095326):1.2673234313437978):0.7129065601852952,5);, with -loglik 71.52740848765113
 (7,8,(5,(6,((3,4):4.65477052140608,(2,1):0.1651963780179339):1.2673217415340627):0.7129068909523533):1.549516024170201);, with -loglik 71.52740848894996
 (7,8,(5,(6,((3,4):4.65477052140608,(2,1):0.1651963780179339):1.2673217415340627):0.7129068909523533):1.549516024170201);, with -loglik 71.52740848894996
 (7,8,(5,(6,((3,4):4.65477052140608,(2,1):0.1651963780179339):1.2673217415340627):0.7129068909523533):1.549516024170201);, with -loglik 71.52740848894996
 (7,8,(5,(6,((3,4):4.65477052140608,(2,1):0.1651963780179339):1.2673217415340627):0.7129068909523533):1.549516024170201);, with -loglik 71.52740848894996
 (7,8,(5,(6,((3,4):4.65477052140608,(2,1):0.1651963780179339):1.2673217415340627):0.7129068909523533):1.549516024170201);, with -loglik 71.52740848894996
-------
